series,indicator_en,indicator_zh,kind,year,value,unit,scope,source_name,link,locator,evidence,note
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2025,42139,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2026,43347,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2027,44338,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2028,44887,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2029,45951,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2030,50479,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2031,53966,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2032,56825,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2033,57503,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_capability,Night net peak capability,夜間淨尖峰能力,projection,2034,56923,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2025,14.2,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2026,13.8,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2027,12.8,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2028,11.3,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2029,11.6,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2030,19.6,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2031,25.1,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2032,28.9,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2033,27.7,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
night_reserve_margin,Night reserve margin,夜間備用容量率,projection,2034,23.8,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-2,downloaded,
re_capacity_solar,Solar PV capacity,太陽光電裝置容量,target,2030,31.2,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 14.3 GW
re_capacity_solar,Solar PV capacity,太陽光電裝置容量,target,2032,32.7,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_offwind,Offshore wind capacity,離岸風電裝置容量,target,2030,10.9,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,Subject to Round 3.3 tender; 2024 actual 3.0 GW
re_capacity_offwind,Offshore wind capacity,離岸風電裝置容量,target,2032,13.9,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_onwind,Onshore wind capacity,陸域風電裝置容量,target,2030,0.979,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 0.918 GW
re_capacity_onwind,Onshore wind capacity,陸域風電裝置容量,target,2032,0.979,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_geothermal,Geothermal capacity,地熱裝置容量,target,2030,1.2,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 0.007 GW
re_capacity_geothermal,Geothermal capacity,地熱裝置容量,target,2032,1.4,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_biomass,Biomass and waste capacity,生質能及廢棄物裝置容量,target,2030,0.810,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 0.751 GW
re_capacity_biomass,Biomass and waste capacity,生質能及廢棄物裝置容量,target,2032,0.840,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_hydro,Hydro capacity,水力裝置容量,target,2030,2.140,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 2.123 GW
re_capacity_hydro,Hydro capacity,水力裝置容量,target,2032,2.180,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_capacity_total,Renewable capacity (total),再生能源裝置容量合計,target,2030,47.229,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,2024 actual 21.099 GW
re_capacity_total,Renewable capacity (total),再生能源裝置容量合計,target,2032,51.999,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Table 3-1,downloaded,
re_share,Renewable share of generation,再生能源發電占比,target,2026,20,%,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.2(1),downloaded,Target date November 2026
re_share,Renewable share of generation,再生能源發電占比,target,2030,30,%,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.2(1),downloaded,
re_share,Renewable share of power supply,再生能源供電占比,target,2050,65,%,Taiwan (national),National Development Council: Taiwan 2050 net-zero pathway,https://ncsd.ndc.gov.tw/Fore/nsdn/about0/2050Path,,search_summary,Range 60-70%; midpoint shown
demand_growth,Demand growth (average),用電需求年均成長率,projection,2025-2034,1.7,%/yr,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.1(1),downloaded,Previous 10 years (2015-2024): 1.23%/yr
demand_growth,Demand growth (average),用電需求年均成長率,projection,2026-2035,2.5,%/yr,Taiwan (national),MOEA National Power Supply-Demand Report (2026 edition),https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=123066,Press release,page_opened,AI data centres included as a separate driver
night_peak_growth,Night peak growth (average),夜尖峰負載年均成長率,projection,2025-2034,2.1,%/yr,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.1(1),downloaded,
night_peak_growth,Night peak growth (average),夜尖峰負載年均成長率,projection,2026-2035,2.7,%/yr,Taipower system,MOEA National Power Supply-Demand Report (2026 edition),https://smctw.tw/19954/,,search_summary,2016-2025: 1.24%/yr
gas_additions,New gas capacity (cumulative),新增燃氣機組（累計）,projection,2025-2034,25163,MW,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.3(1),downloaded,"Retirements (coal, oil, gas) 12941 MW; net +12222 MW; at Hsinta, Taichung, Talin, Tunghsiao, Hsieh-ho"
gas_additions,New gas capacity (cumulative),新增燃氣機組（累計）,projection,2026-2035,26000,MW,Taipower system,MOEA National Power Supply-Demand Report (2026 edition),https://www.moea.gov.tw/Mns/populace/news/News.aspx?kind=1&menu_id=40&news_id=123066,Press release,page_opened,About 26 GW
storage_grid,Grid-connected storage,併網型儲能,target,2025,1.0,GW,Taiwan (national),MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Section 3.2(5),downloaded,"Reached early: Taipower-owned 0.16 GW + procured ancillary-service storage 1.26 GW by end 2024"
capacity_credit,Solar capacity credit (day / night),太陽光電供電能力計算（日／夜）,history,2024,25 / 0,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Footnote 1,downloaded,Share of installed capacity counted for day and night supply capability
capacity_credit,Wind capacity credit (day / offshore night),風力供電能力計算（日／離岸夜間）,history,2024,6 / 11,%,Taipower system,MOEA National Power Supply-Demand Report (2025 edition),https://data.gov.tw/dataset/16437,Footnote 1,downloaded,Share of installed capacity counted for day and night supply capability
