name,name_zh,basis
Shihmen,石門水力,Taipower unit list (石門)
Tsengwen,曾文水力,Taipower unit list (曾文)
Yihsing,義興水力,Taipower unit list (義興)
Mingjian,名間水力,Taipower unit list (名間)
Chianan Xikou/Wushantou,嘉南西口、烏山頭水力,Taipower unit list (嘉南西口)
Beinan,卑南水力,Taipower unit list (卑南)
Guanshan,捷祥關山水力,Taipower unit list (捷祥關山)
Other purchased small hydro,其它購電小水力,Taipower unit list (其它購電小水力)
Takuan II (Minghu),大觀二廠（明湖抽蓄）,Taipower unit list (大觀二)
Mingtan,明潭抽蓄,Taipower unit list (明潭)
Batteries,電池儲能（台電總量）,Taipower unit list (電池)
Guanyuan wind,觀園風場,Taipower unit list (觀園)
Taichung Port wind,台中港風場,Taipower unit list (台中港)
Wanggong wind,王功風場,Taipower unit list (王功)
Changkong wind,彰工風場,Taipower unit list (彰工)
Yunmai wind,雲麥風場,Taipower unit list (雲麥)
Sihu wind,四湖風場,Taipower unit list (四湖)
Other Taipower wind,其它台電自有風力,Taipower unit list (其它台電自有)
Miaoli Dapeng wind,苗栗大鵬風場,Taipower unit list (苗栗大鵬)
Luwei Changbin wind,鹿威彰濱風場,Taipower unit list (鹿威彰濱)
Guanwei/Taowei wind,觀威觀音、桃威新屋風場,Taipower unit list (觀威觀音&桃威新屋)
Zhongwei Da'an wind,中威大安風場,Taipower unit list (中威大安)
Chuangwei wind,創維風場,Taipower unit list (創維風)
Hsinyuan Lunbei wind,新源崙背風場,Taipower unit list (新源崙背)
Other purchased onshore wind,其它購電陸域風力,Taipower unit list (其它購電風力)
Taipower offshore phase 1,台電離岸風電一期,Taipower unit list (離岸一期)
Formosa 1,海洋竹南離岸風場,Developer project name (unit list 海洋竹南)
Formosa 2,海能離岸風場,Developer project name (unit list 海能風)
Greater Changhua 1,大彰化東南第一階段離岸風場,Ørsted project name (unit list 沃一風)
Greater Changhua 2a,大彰化西南第一階段離岸風場,Ørsted project name (unit list 沃二風)
Greater Changhua 2b (assumed),大彰化西南第二階段離岸風場（假設）,Ørsted project name; unit list label 沃南風 assumed to be this farm
Changfang Xidao 1,彰芳暨西島離岸風場（芳一）,Developer project name (unit list 芳一風)
Changfang Xidao 2,彰芳暨西島離岸風場（芳二）,Developer project name (unit list 芳二風)
Yunlin (Yunneng) A,允能雲林離岸風場（允湖）,Developer project name (unit list 允湖)
Yunlin (Yunneng) B,允能雲林離岸風場（允西）,Developer project name (unit list 允西)
Chung-Neng,中能離岸風場,Developer project name (unit list 中能風)
Hsinta new CC #2,興達發電廠新燃氣#2,MOEA thermal schedule (興達新燃氣#2)
Kuokuang phase 2,國光電廠二期,MOEA thermal schedule (國光二期)
Talin new CC,大林發電廠新燃氣,MOEA thermal schedule (大林新燃氣#1-)
Tunghsiao new CC,通霄發電廠新燃氣,MOEA thermal schedule (通霄新燃氣#4-)
Mailiao CC,麥寮電廠燃氣機組,MOEA thermal schedule (麥寮CC#1-)
Taichung new CC #3-6,台中發電廠新燃氣#3–6,MOEA thermal schedule (台中新燃氣#3-6)
Hsieh-ho new CC,協和發電廠新燃氣,MOEA thermal schedule (協和新燃氣#1-)
New gas (unspecified site),新增燃氣電源（地點未定）,MOEA thermal schedule (新增燃氣電源)
"Geothermal (Yilan, assumed)",地熱（宜蘭，假設）,this project's assumption (build_future_powerplants.py)
